"ref_name","ARO Term","ARO Accession","NCBI","init_final","Model Sequence ID","CVTERM ID","ARO Name","Protein Accession","DNA Accession","AMR Gene Family","Drug Class","Resistance Mechanism"
"SHV-157.3001196.JX121124.0-861.1635","SHV-157",3001196,"JX121124","0-861","1635",37576,"SHV-157","AFQ23963.1","JX121124","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"ampC.3004290.U00096.3.4377810-4378944.5393","ampC",3004290,"U00096 . 3","4377810-4378944","5393",41454,"Escherichia coli ampC beta-lactamase","AAC77110.1","U00096.3","ampC-type beta-lactamase","cephalosporin;penam","antibiotic inactivation"
"APH(2'')-IIa.3002635.AF337947.271-1171.696","APH(2'')-IIa",3002635,"AF337947","271-1171","696",39035,"APH(2'')-IIa","AAK63040.1","AF337947","APH(2'')","aminoglycoside antibiotic","antibiotic inactivation"
"ACC-5.3001819.HE819401.0-1161.778","ACC-5",3001819,"HE819401","0-1161","778",38219,"ACC-5","CCK86740.1","HE819401","ACC beta-lactamase","cephalosporin;monobactam;penam","antibiotic inactivation"
"SHV-77.3001131.AM176552.30-891.2027","SHV-77",3001131,"AM176552","30-891","2027",37511,"SHV-77","CAJ47132.2","AM176552","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"ACC-1.3001815.AJ133121.649-1810.856","ACC-1",3001815,"AJ133121","649-1810","856",38215,"ACC-1","CAB46491.1","AJ133121","ACC beta-lactamase","cephalosporin;monobactam;penam","antibiotic inactivation"
"Klebsiella_pneumoniae_OmpK37.3004122.AJ011502.1.300-1425.4406","Klebsiella_pneumoniae_OmpK37",3004122,"AJ011502 . 1","300-1425","4406",41247,"Klebsiella pneumoniae OmpK37","CAA09666.1","AJ011502.1","General Bacterial Porin with reduced permeability to beta-lactams","carbapenem;cephalosporin;cephamycin;monobactam;penam;penem","reduced permeability to antibiotic"
"gyrA.3003926.AE006468.2.2373709-2376346.5271","gyrA",3003926,"AE006468 . 2","2373709-2376346","5271",40635,"Salmonella enterica gyrA conferring resistance to fluoroquinolones","AAL21173.1","AE006468.2","fluoroquinolone resistant gyrA","fluoroquinolone antibiotic;nybomycin","antibiotic target alteration"
"acrR.3003373.CP000647.489264-489915.2069","acrR",3003373,"CP000647","489264-489915","2069",39957,"Klebsiella pneumoniae acrR with mutation conferring multidrug antibiotic resistance","ABR75897.1","CP000647","resistance-nodulation-cell division (RND) antibiotic efflux pump","cephalosporin;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan","antibiotic efflux;antibiotic target alteration"
"TEM-67.3000934.AF091113.450-1311.1248","TEM-67",3000934,"AF091113","450-1311","1248",37314,"TEM-67","AAD33116.2","AF091113","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-115.3000978.AF535127.208-1069.1952","TEM-115",3000978,"AF535127","208-1069","1952",37358,"TEM-115","AAN04881.1","AF535127","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-82.3000949.AF427128.208-1069.1162","TEM-82",3000949,"AF427128","208-1069","1162",37329,"TEM-82","AAL29434.1","AF427128","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-160.3001026.EF136377.0-861.1798","TEM-160",3001026,"EF136377","0-861","1798",37406,"TEM-160","ABM54870.1","EF136377","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-48.3000917.Y10280.0-861.1650","TEM-48",3000917,"Y10280","0-861","1650",37297,"TEM-48","CAA71323.1","Y10280","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-123.3000985.AY327539.0-858.1321","TEM-123",3000985,"AY327539","0-858","1321",37365,"TEM-123","AAQ93490.1","AY327539","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-152.3001019.DQ834728.205-1066.1074","TEM-152",3001019,"DQ834728","205-1066","1074",37399,"TEM-152","ABI74447.1","DQ834728","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-145.3001012.DQ105528.0-861.1721","TEM-145",3001012,"DQ105528","0-861","1721",37392,"TEM-145","AAZ14083.2","DQ105528","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-139.3001003.DQ072853.0-861.1322","TEM-139",3001003,"DQ072853","0-861","1322",37383,"TEM-139","AAZ23494.1","DQ072853","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-216.3001393.KF944358.0-861.1494","TEM-216",3001393,"KF944358","0-861","1494",37793,"TEM-216","AHJ78622.1","KF944358","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"SAT-2.3002895.AB211124.0-525.584","SAT-2",3002895,"AB211124","0-525","584",39329,"SAT-2","BAD95494.1","AB211124","streptothricin acetyltransferase (SAT)","nucleoside antibiotic","antibiotic inactivation"
"TEM-72.3000938.AF157553.147-1008.1651","TEM-72",3000938,"AF157553","147-1008","1651",37318,"TEM-72","AAF19151.1","AF157553","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-188.3001048.JN211012.213-1074.2034","TEM-188",3001048,"JN211012","213-1074","2034",37428,"TEM-188","AEL17198.1","JN211012","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-111.3000974.AF468003.0-861.1643","TEM-111",3000974,"AF468003","0-861","1643",37354,"TEM-111","AAL77062.1","AF468003","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-134.3000998.AY574271.0-861.925","TEM-134",3000998,"AY574271","0-861","925",37378,"TEM-134","AAS79107.1","AY574271","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"tet(A).3000165.AF534183.1.2970-4245.5213","tet(A)",3000165,"AF534183 . 1","2970-4245","5213",36304,"tet(A)","AAN06707.1","AF534183.1","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux"
"TEM-171.3001037.GQ149347.5269-6130.1244","TEM-171",3001037,"GQ149347","5269-6130","1244",37417,"TEM-171","ADA79630.1","GQ149347","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-190.3001050.JN416112.0-861.1000","TEM-190",3001050,"JN416112","0-861","1000",37430,"TEM-190","AEL88240.1","JN416112","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-55.3000924.DQ286729.0-861.2037","TEM-55",3000924,"DQ286729","0-861","2037",37304,"TEM-55","ABB97007.1","DQ286729","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-43.3000912.U95363.0-861.1403","TEM-43",3000912,"U95363","0-861","1403",37292,"TEM-43","AAC32889.2","U95363","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-90.3000957.AF351241.89-950.1804","TEM-90",3000957,"AF351241","89-950","1804",37337,"TEM-90","AAK30619.1","AF351241","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-133.3000997.AY528425.0-861.844","TEM-133",3000997,"AY528425","0-861","844",37377,"TEM-133","AAS19171.1","AY528425","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-83.3000950.AF427129.208-1069.1249","TEM-83",3000950,"AF427129","208-1069","1249",37330,"TEM-83","AAL29435.1","AF427129","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TolC.3000237.FJ768952.0-1488.563","TolC",3000237,"FJ768952","0-1488","563",36376,"TolC","ACN32294.1","FJ768952","ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump","aminocoumarin antibiotic;aminoglycoside antibiotic;carbapenem;cephalosporin;cephamycin;fluoroquinolone antibiotic;glycylcycline;macrolide antibiotic;penam;penem;peptide antibiotic;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan","antibiotic efflux"
"TEM-11.3000883.AY874537.177-1038.1488","TEM-11",3000883,"AY874537","177-1038","1488",37263,"TEM-11","AAW66604.1","AY874537","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-110.3000973.AY072920.0-861.1566","TEM-110",3000973,"AY072920","0-861","1566",37353,"TEM-110","AAL68923.1","AY072920","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-155.3001021.DQ679961.114-975.1323","TEM-155",3001021,"DQ679961","114-975","1323",37401,"TEM-155","ABG77582.1","DQ679961","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-81.3000948.AF427127.208-1069.1080","TEM-81",3000948,"AF427127","208-1069","1080",37328,"TEM-81","AAL29433.1","AF427127","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-91.3000958.AB049569.0-861.1888","TEM-91",3000958,"AB049569","0-861","1888",37338,"TEM-91","BAB16308.1","AB049569","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-147.3001014.DQ279850.0-861.1881","TEM-147",3001014,"DQ279850","0-861","1881",37394,"TEM-147","ABB84515.1","DQ279850","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-121.3000983.AY271267.0-861.1154","TEM-121",3000983,"AY271267","0-861","1154",37363,"TEM-121","AAQ01671.1","AY271267","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-214.3001391.KP050491.0-861.2126","TEM-214",3001391,"KP050491","0-861","2126",37791,"TEM-214","AJO16044.1","KP050491","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-150.3001017.AM183304.208-1069.926","TEM-150",3001017,"AM183304","208-1069","926",37397,"TEM-150","CAJ66089.1","AM183304","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-19.3000890.JX042489.141-1002.928","TEM-19",3000890,"JX042489","141-1002","928",37270,"TEM-19","AFN21551.1","JX042489","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-73.3000939.AJ012256.208-1069.3324","TEM-73",3000939,"AJ012256","208-1069","3324",37319,"TEM-73","CAB65358.1","AJ012256","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-201.3001378.JX310327.0-861.1884","TEM-201",3001378,"JX310327","0-861","1884",37778,"TEM-201","AFS44742.1","JX310327","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-130.3000994.AJ866988.0-861.1880","TEM-130",3000994,"AJ866988","0-861","1880",37374,"TEM-130","CAI29263.1","AJ866988","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-101.3000964.AF495873.0-861.842","TEM-101",3000964,"AF495873","0-861","842",37344,"TEM-101","AAM18924.1","AF495873","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-189.3001049.JN254627.0-861.847","TEM-189",3001049,"JN254627","0-861","847",37429,"TEM-189","AEL79515.1","JN254627","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-146.3001013.DQ105529.0-861.1797","TEM-146",3001013,"DQ105529","0-861","1797",37393,"TEM-146","AAZ14084.2","DQ105529","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-124.3000986.AY327540.0-858.1398","TEM-124",3000986,"AY327540","0-858","1398",37366,"TEM-124","AAQ93491.1","AY327540","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-153.3001369.KC149518.0-861.1156","TEM-153",3001369,"KC149518","0-861","1156",37769,"TEM-153","AGA83484.1","KC149518","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-16.3000887.X65254.175-1036.1722","TEM-16",3000887,"X65254","175-1036","1722",37267,"TEM-16","CAA46346.1","X65254","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-122.3000984.AY307100.0-861.1241","TEM-122",3000984,"AY307100","0-861","1241",37364,"TEM-122","AAQ98890.1","AY307100","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-141.3001004.AY956335.38-899.1399","TEM-141",3001004,"AY956335","38-899","1399",37384,"TEM-141","AAX56615.1","AY956335","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-120.3000982.AY243512.208-1069.1072","TEM-120",3000982,"AY243512","208-1069","1072",37362,"TEM-120","AAO85882.1","AY243512","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-125.3000987.AY628176.75-936.1489","TEM-125",3000987,"AY628176","75-936","1489",37367,"TEM-125","AAT46414.1","AY628176","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-4.3000876.LK391770.1.19707-20568.5503","TEM-4",3000876,"LK391770 . 1","19707-20568","5503",37256,"TEM-4","CDR98216.1","LK391770.1","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-8.3000880.X65252.175-1036.932","TEM-8",3000880,"X65252","175-1036","932",37260,"TEM-8","CAA46344.1","X65252","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-137.3001001.AM286274.0-861.1155","TEM-137",3001001,"AM286274","0-861","1155",37381,"TEM-137","CAL08007.1","AM286274","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-185.3001374.JF795538.0-861.1799","TEM-185",3001374,"JF795538","0-861","1799",37774,"TEM-185","AEG64812.1","JF795538","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-24.3000894.X65253.175-1036.1801","TEM-24",3000894,"X65253","175-1036","1801",37274,"TEM-24","CAA46345.1","X65253","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-206.3001383.KC783461.0-861.2035","TEM-206",3001383,"KC783461","0-861","2035",37783,"TEM-206","AGK82336.1","KC783461","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-136.3001000.AY826417.0-861.1073","TEM-136",3001000,"AY826417","0-861","1073",37380,"TEM-136","AAV83795.1","AY826417","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-40.3000910.FR717535.0-861.1247","TEM-40",3000910,"FR717535","0-861","1247",37290,"TEM-40","CBX53726.1","FR717535","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"npmA.3002665.AB261016.3068-3728.273","npmA",3002665,"AB261016","3068-3728","273",39065,"npmA","BAF80809.1","AB261016","16S rRNA methyltransferase (A1408)","aminoglycoside antibiotic","antibiotic target alteration"
"TEM-178.3001043.X97254.153-1011.1492","TEM-178",3001043,"X97254","153-1011","1492",37423,"TEM-178","CAA65888.1","X97254","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-159.3001025.EF136376.0-861.1646","TEM-159",3001025,"EF136376","0-861","1646",37405,"TEM-159","ABM54869.1","EF136376","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-53.3000922.AF104441.193-1054.1886","TEM-53",3000922,"AF104441","193-1054","1886",37302,"TEM-53","AAD22538.1","AF104441","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-57.3000926.FJ405211.0-861.850","TEM-57",3000926,"FJ405211","0-861","850",37306,"TEM-57","ACJ43254.1","FJ405211","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-183.3001045.HQ529916.110-971.1647","TEM-183",3001045,"HQ529916","110-971","1647",37425,"TEM-183","ADR71220.1","HQ529916","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-86.3000953.AJ277415.0-861.1497","TEM-86",3000953,"AJ277415","0-861","1497",37333,"TEM-86","CAC43230.1","AJ277415","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-45.3000914.X95401.208-1069.1495","TEM-45",3000914,"X95401","208-1069","1495",37294,"TEM-45","CAA64682.1","X95401","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-2.3000874.X54606.214-1075.1724","TEM-2",3000874,"X54606","214-1075","1724",37254,"TEM-2","CAA38429.1","X54606","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"gyrA.3003940.AE005674.2.2352231-2354859.5265","gyrA",3003940,"AE005674 . 2","2352231-2354859","5265",40664,"Shigella flexneri gyrA conferring resistance to fluoroquinolones","AAN43827.1","AE005674.2","fluoroquinolone resistant gyrA","fluoroquinolone antibiotic;nybomycin","antibiotic target alteration"
"TEM-6.3000878.X57972.339-1200.1002","TEM-6",3000878,"X57972","339-1200","1002",37258,"TEM-6","CAA41038.1","X57972","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-112.3000975.AY589493.166-1027.1719","TEM-112",3000975,"AY589493","166-1027","1719",37355,"TEM-112","AAS89982.1","AY589493","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-154.3001020.FJ807656.0-861.1243","TEM-154",3001020,"FJ807656","0-861","1243",37400,"TEM-154","ACO07310.1","FJ807656","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-187.3001047.HM246246.211-1069.1956","TEM-187",3001047,"HM246246","211-1069","1956",37427,"TEM-187","ADM61585.1","HM246246","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-191.3001051.KY432484.1.0-861.5591","TEM-191",3001051,"KY432484 . 1","0-861","5591",37431,"TEM-191","APY23677.1","KY432484.1","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-3.3000875.X64523.1.476-1337.4678","TEM-3",3000875,"X64523 . 1","476-1337","4678",37255,"TEM-3","CAA45828.1","X64523.1","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-93.3000960.AJ318093.0-861.2039","TEM-93",3000960,"AJ318093","0-861","2039",37340,"TEM-93","CAC85660.1","AJ318093","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-78.3000944.AF190693.208-1069.2038","TEM-78",3000944,"AF190693","208-1069","2038",37324,"TEM-78","AAF05612.1","AF190693","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-71.3000937.AF203816.210-1071.1574","TEM-71",3000937,"AF203816","210-1071","1574",37317,"TEM-71","AAL03985.1","AF203816","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-168.3001034.FJ919776.208-1069.999","TEM-168",3001034,"FJ919776","208-1069","999",37414,"TEM-168","ACR22829.1","FJ919776","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-151.3001018.DQ834729.205-1066.998","TEM-151",3001018,"DQ834729","205-1066","998",37398,"TEM-151","ABI74448.1","DQ834729","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-85.3000952.AJ277414.0-861.1405","TEM-85",3000952,"AJ277414","0-861","1405",37332,"TEM-85","CAC43229.1","AJ277414","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-129.3000993.AJ746225.0-861.1796","TEM-129",3000993,"AJ746225","0-861","1796",37373,"TEM-129","CAG34105.1","AJ746225","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-164.3001030.EU274580.214-1075.2033","TEM-164",3001030,"EU274580","214-1075","2033",37410,"TEM-164","ABX71157.1","EU274580","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-193.3001053.JN935135.0-861.1245","TEM-193",3001053,"JN935135","0-861","1245",37433,"TEM-193","AFC75523.1","JN935135","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-80.3000947.AF347054.208-1069.1003","TEM-80",3000947,"AF347054","208-1069","1003",37327,"TEM-80","AAM15527.1","AF347054","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-167.3001033.FJ360884.213-1074.927","TEM-167",3001033,"FJ360884","213-1074","927",37413,"TEM-167","ACJ04051.1","FJ360884","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-17.3000888.Y14574.0-861.1157","TEM-17",3000888,"Y14574","0-861","1157",37268,"TEM-17","CAA74912.2","Y14574","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-54.3000923.AF104442.193-1054.1959","TEM-54",3000923,"AF104442","193-1054","1959",37303,"TEM-54","AAD22539.1","AF104442","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-12.3000884.M88143.367-1228.996","TEM-12",3000884,"M88143","367-1228","996",37264,"TEM-12","AAA25053.1","M88143","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-102.3000965.AY040093.68-929.923","TEM-102",3000965,"AY040093","68-929","923",37345,"TEM-102","AAK82652.1","AY040093","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-163.3001029.EU815939.0-861.1955","TEM-163",3001029,"EU815939","0-861","1955",37409,"TEM-163","ACF32746.1","EU815939","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-114.3000977.AY589495.181-1042.1879","TEM-114",3000977,"AY589495","181-1042","1879",37357,"TEM-114","AAS89984.1","AY589495","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-142.3001005.DQ388882.0-861.1490","TEM-142",3001005,"DQ388882","0-861","1490",37385,"TEM-142","ABD60314.1","DQ388882","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-156.3001022.AM941159.208-1069.1400","TEM-156",3001022,"AM941159","208-1069","1400",37402,"TEM-156","CAQ00120.1","AM941159","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-108.3000971.AF506748.38-899.1320","TEM-108",3000971,"AF506748","38-899","1320",37351,"TEM-108","AAM28884.1","AF506748","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-49.3000918.Y10281.0-861.1726","TEM-49",3000918,"Y10281","0-861","1726",37298,"TEM-49","CAA71324.1","Y10281","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-84.3000951.AF427130.208-1069.1328","TEM-84",3000951,"AF427130","208-1069","1328",37331,"TEM-84","AAL29436.1","AF427130","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-96.3000963.AY092401.0-861.1004","TEM-96",3000963,"AY092401","0-861","1004",37343,"TEM-96","AAM22276.1","AY092401","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-209.3001386.KF240808.0-861.1001","TEM-209",3001386,"KF240808","0-861","1001",37786,"TEM-209","AGW25367.1","KF240808","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-116.3000979.U36911.1.1429-2290.5504","TEM-116",3000979,"U36911 . 1","1429-2290","5504",37359,"TEM-116","AAB39956.1","U36911.1","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-52.3000921.Y13612.0-861.1802","TEM-52",3000921,"Y13612","0-861","1802",37301,"TEM-52","CAA73933.1","Y13612","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-94.3000961.AJ318094.0-861.852","TEM-94",3000961,"AJ318094","0-861","852",37341,"TEM-94","CAC85661.1","AJ318094","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-157.3001023.DQ909059.0-861.1491","TEM-157",3001023,"DQ909059","0-861","1491",37403,"TEM-157","ABI81768.1","DQ909059","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-87.3000954.AF250872.0-861.1575","TEM-87",3000954,"AF250872","0-861","1575",37334,"TEM-87","AAG44570.1","AF250872","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-92.3000959.AF143804.0-861.1961","TEM-92",3000959,"AF143804","0-861","1961",37339,"TEM-92","AAF66653.1","AF143804","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-197.3001056.HQ877606.0-861.1493","TEM-197",3001056,"HQ877606","0-861","1493",37436,"TEM-197","AEK48085.1","HQ877606","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-63.3000931.AF332513.103-964.1161","TEM-63",3000931,"AF332513","103-964","1161",37311,"TEM-63","AAK17194.1","AF332513","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-211.3001388.KF513179.0-861.1159","TEM-211",3001388,"KF513179","0-861","1159",37788,"TEM-211","AHA80960.1","KF513179","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-149.3001016.DQ369751.0-861.2032","TEM-149",3001016,"DQ369751","0-861","2032",37396,"TEM-149","ABC96711.1","DQ369751","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-113.3000976.AY589494.193-1054.1795","TEM-113",3000976,"AY589494","193-1054","1795",37356,"TEM-113","AAS89983.1","AY589494","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-184.3001375.FR848831.0-861.1723","TEM-184",3001375,"FR848831","0-861","1723",37775,"TEM-184","CCA61905.1","FR848831","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-138.3001002.AY853593.214-1075.1242","TEM-138",3001002,"AY853593","214-1075","1242",37382,"TEM-138","AAW47922.1","AY853593","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-195.3001055.JN935137.0-861.1402","TEM-195",3001055,"JN935137","0-861","1402",37435,"TEM-195","AFC75525.1","JN935137","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-162.3001028.EF468463.66-927.1882","TEM-162",3001028,"EF468463","66-927","1882",37408,"TEM-162","ABO64442.1","EF468463","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"cepA.3003559.U05883.555-1458.3285","cepA",3003559,"U05883","555-1458","3285",40165,"cepA","AAA21532.1","U05883","cepA beta-lactamase","cephalosporin","antibiotic inactivation"
"MIR-17.3003173.LN515535.0-1146.1658","MIR-17",3003173,"LN515535","0-1146","1658",39750,"MIR-17","CEA29752.1","LN515535","MIR beta-lactamase","cephalosporin;monobactam","antibiotic inactivation"
"APH(3')-Ia.3002641.BX664015.1.103017-103833.4475","APH(3')-Ia",3002641,"BX664015 . 1","103017-103833","4475",39041,"APH(3')-Ia","CAE51638.1","BX664015.1","APH(3')","aminoglycoside antibiotic","antibiotic inactivation"
